Cód Produto;Descrição;CORRIGIDO
906000350;KIT MANUTENCAO PREVE;0906000350
906000356;PARAFUSO SEXTAVADO 5/16X1/2;0906000356
906000357;PARAFUSO SEXTAVADO  5/16X3/4;0906000357
906000360;CORREIAS EBV 50;0906000360
906000370;QUIMITAL TAPA FUGAS PARA AR MC;0906000370
906000381;OLEO DESENGRIPANTE WD 40;0906000381
906000382;PINCEL 2'';0906000382
906000447;GAS ECOLOGICO R410A;0906000447
906000473;REFIL CARBON BLOCK 5C;0906000473
906000484;RELE DE TEMPO 0 A 60 MIN;0906000484
906000486;RELE TEMPORIZADOR COEL AEG 24V;0906000486
906000494;BOMBA;0906000494
906000495;BATERIA 12V 180AH M150BD;0906000495
906000504;CHAVE DE LIGA E DESLIGA;0906000504
906000623;RESISTENCIA DA LAMINA LATERAL;0906000623
906000631;GRAXA SINTETICA ALTA TEMPERATU;0906000631
906000645;FACA INFERIOR DFG-15 E 30;0906000645
906000646;FACA SUPERIOR DFG-15 E 30;0906000646
906000654;ROLO DE ALIVIO DA FITA;0906000654
906000661;ESTEIRA TEFLON TUNEL 45X25;0906000661
906000669;DISPLAY P/ CLIMATIZADOR DE AR;0906000669
906000694;CORREIA PARA COMPRESSOR DE AR;0906000694
906000713;BATERIA SELADA 12V 65AH;0906000713
906000714;PARTES E PECAS INVERSORA;0906000714
906000753;ELEMENTOS;0906000753
906000764;TORNEIRA BEBEDOURO INDUSTRIAL;0906000764
906000768;ROLAMENTO 6012;0906000768
906000785;BALDE OLEO VOLVOLINE 15W40;0906000785
906000790;FILTRO DE OLEO DIESEL;0906000790
906000791;JOGO REPARO-F LUB;0906000791
906000792;FILTRO DE AR;0906000792
906000793;FILTRO OLEO DIESEL SEPARADO;0906000793
906000794;ANEL DO FILTRO ROTATIVO;0906000794
906000795;ANEL DE VEDACAO;0906000795
906000796;OLEO BRUTUS API 15W40;0906000796
906000797;MANG 10C6H 5-8 23;0906000797
906000798;ABRC SEM FIM 19-38 GALV;0906000798
906000800;ANEL BORRACHA ORING;0906000800
906000822;TOMADA ACOPL 3P+T 32A 380+415V;0906000822
906000829;MANGUEIRA P LAVA LOUCAS;0906000829
906000852;KIT���PIVOTANTE���;0906000852
906000853;PLACA DE COMANDO;0906000853
906000854;FITA DE TEFLON 19MM MP200698;0906000854
906000855;FITA TEFLON  80MM MP200765;0906000855
906000856;SILICONE EXPANDIDO  MP400559;0906000856
906000871;BATERIA TRACIONARIA;0906000871
906000877;VALVULA DE ALIVIO;0906000877
906000878;BOMBA DE ALIMENTACAO;0906000878
906000879;PARAFUSO M8 X 25;0906000879
906000880;JUNTA VEDACAO;0906000880
906000881;UNIAO;0906000881
906000882;CRUZETA;0906000882
906000883;ARRUELA 8 4X16;0906000883
906000896;BARRA PARA FACA SUPERIOR;0906000896
906000898;BATENTE DE BORRACHA M6;0906000898
906000912;MANIPULO 74002736;0906000912
906000913;MOLA 04216102500;0906000913
906000914;MOLA 04713102500;0906000914
906000915;MOLA DE TRACAO MQ01US058;0906000915
906000916;MOLA PARA FACA;0906000916
906000925;PARAFUSO 45X12 DIN933;0906000925
906000930;PARAFUSO DE AJUSTE;0906000930
906000935;PORCA M4 DIN934;0906000935
906000936;PORCA M8 DIN934;0906000936
906000939;RODA DE TRANSPORTE;0906000939
906000940;ROLETE DE PRESSAO;0906000940
906000950;"GRUPPO FR 3/8"" 20MICROM 0+8";0906000950
906000951;CAPACIT ELET EPX 110V;0906000951
906000952;ALAVANCA 04.7128.033.00;0906000952
906000953;ALAVANCA ACION MQ01-US-104;0906000953
906000954;ALAVANCA 04.2161.019.00;0906000954
906000956;CABO DE REDE BLINDADO;0906000956
906000964;POLIA DO MOTOR;0906000964
906000980;KIT INSTALACAO FILTRO E BEBEDO;0906000980
906000981;REFIL CARBON BLOCK 5C;0906000981
906001004;ENGRENAGEM 10 PARA MARTELETE;0906001004
906001005;PORTA ESCOVA COM CARVAO;0906001005
906001006;INTERRUPTOR CHAVE GATILHO;0906001006
906001007;INDUZIDO 220V;0906001007
906001010;BORRACHA GAXETA PARA VEDACAO;0906001010
906001013;INVERSOR FREQUENCIA;0906001013
906001014;BOMBA SUBMERSA 220V;0906001014
906001015;BOIA PLASTICA I COM VALVULA;0906001015
906001016;SENSOR DE NIVEL;0906001016
906001017;TELA DE PROTECAO;0906001017
907000055;ANTENA STARLINK STANDARD V4;0907000055
907000060;WINDOWS SERVER 2022 STANDARD -;0907000060
908000048;MICROFONE COM FIO;0908000048
909000078;SAPATA P/ ESTRUTURA DO ARMAZEM;0909000078
909000093;ESTRUTURA METALICA;0909000093
909000094;MONTANTE PARA PORTA PALETE;0909000094
909000194;LONGARINA;0909000194
909000562;EMPILHADEIRA ELETRICA EGV G115;0909000562
909000576;BANCADA PARA BALANCA;0909000576
909000582;CLIMATIZADOR DE AR;0909000582
909000583;PLANO ARAMADO PARA PORTA PALET;0909000583
909000585;GUINCHO HIDRAULICO 1T;0909000585
909000586;GUINCHO HIDRAULICO 500 KG;0909000586
910000109;FIBRA DROP 4FO;0910000109
910000162;CONECTOR MACHO RJ45;0910000162
910000200;FILTRO BEBEDOURO INDUSTRIAL;0910000200
912000085;NIVELADORAS DAS DOCAS;0912000085
915000001;CONSTR. EM ANDAMENTO LEASING;0915000001
1301000007;ELETRODO 3,25MM;1301000007
1301000010;CAIXA DE EMBUTIR PARA DRYWALL;1301000010
1301000011;SOQUETE DE PORCELANA E-27;1301000011
1301000030;DISJUNTOR  TRIFASICO 32A ABB;1301000030
1301000031;CABO FLEXIVEL 2,5MM 750 V PRET;1301000031
1301000032;CABO FLEXIVEL 2,5MM 750V VERDE;1301000032
1301000041;SEALTUBO 1';1301000041
1301000056;FILTRO DE LINHA EXTENSAO;1301000056
1301000069;BARRAMENTO PENTE 1MT;1301000069
1301000099;TRANSFORMADOR DE 220 PARA 110;1301000099
1301000125;"UNIDUT RETO DE 3/4""";1301000125
1301000137;FECHADURA ELETRICA;1301000137
1301000138;BOTAO P/ FECHADURA ELETRICA;1301000138
1301000146;"UNIDUT CONICO DE 3/4""";1301000146
1301000155;TOMADA REDONDA 2P+T 10A;1301000155
1301000156;TOMADA REDONDA 2P+T 10A PRETA;1301000156
1301000161;TOMADA DE SOBREPOR 5 POLOS 16A;1301000161
1301000164;TOMADA DE SOBREPOR 4 POLOS 16A;1301000164
1301000169;DISJUNTOR BIPOLAR DE 25A;1301000169
1301000191;CABO FLEXIVEL 2,5MM 750V AZUL;1301000191
1301000195;CABO FLEX PT;1301000195
1301000222;REATOR ELETRONICO;1301000222
1301000223;PLUG FEMEA 2P+T 20A;1301000223
1301000224;PLUG MACHO 2P+T 20A;1301000224
1301000231;LAMPADA FLUORESCENTE T5 54W;1301000231
1301000232;LAMPADA INCANDESCENTE;1301000232
1301000234;LAMPADA OVOIDE DE DESCARGA;1301000234
1301000242;REATOR P/ LAMPADA FLUORESCENTE;1301000242
1301000243;REATOR P/ LAMPADA FLUORESCENTE;1301000243
1301000251;LUMINARIA LED 18W;1301000251
1301000272;REFLETOR DE 200 W;1301000272
1301000276;CABO COAXIAL PARA ANTENA;1301000276
1301000296;BUCHA 6MM;1301000296
1301000297;BUCHA 8MM;1301000297
1301000298;BUCHA 10MM;1301000298
1301000301;PARAFUSO AGULHA;1301000301
1301000310;MANGUEIRA FLEXIVEL;1301000310
1301000321;PARAFUSO 6MM;1301000321
1301000325;CABO FLEXIVEL 4,0MM��� VER;1301000325
1301000329;"CONDULETE 3/4"" TIPO E";1301000329
1301000330;"CONDULETE 3/4"" TIPO C";1301000330
1301000331;"CONDULETE 3/4"" TIPO LL";1301000331
1301000333;"CONDULETE 3/4"" TIPO LR (POLIWE";1301000333
1301000334;"CONDULETE 3/4"" TIPO T";1301000334
1301000336;"CONDULETE 3/4"" TIPO X";1301000336
1301000337;"CONDULETE 3/4""";1301000337
1301000338;"TAMPA CONDULETE 3/4"" P/ TOMADA";1301000338
1301000339;SAIDA ELETROD P/ PERFILADO 3/4;1301000339
1301000343;CABO EPR 90G 185MM PRETO;1301000343
1301000344;CABO EPR 90G 185MM BRANCO;1301000344
1301000349;BUCHA SFOR BOLT P/ DRYWALL;1301000349
1301000357;TAMPA CEGA PARA CONDULETE;1301000357
1301000360;LUMINARIA SOBREPOR;1301000360
1301000386;REGISTRO ESFERA 3/4;1301000386
1301000402;CHAVE SELETORA;1301000402
1301000415;TOMADA SOBREPOR STECK 2P+T 32A;1301000415
1301000416;PLUG MACHO STECK 2P+T 32A;1301000416
1301000417;CABO PP 3X4,0MM PT;1301000417
1301000427;BRACO P/ CHUVEIRO DE ALUMINIO;1301000427
1301000444;CORTINA DE AR AC 1.00MT;1301000444
1301000448;PLUG MACHO 2P+T 10A;1301000448
1301000449;PLUG FEMEA 2P+T 10A;1301000449
1301000451;TERMINAL A COMPRESSAO;1301000451
1301000469;EXAUSTOR;1301000469
1301000474;CONTROLE REMOTO;1301000474
1301000485;CABO FLEXIVEL 25MM PRETO;1301000485
1301000491;SENSOR;1301000491
1301000509;VEDA ROSCA;1301000509
1301000522;PLACA DE INDENTIFICACAO;1301000522
1301000524;ABRACADEIRA DE METAL 3/4;1301000524
1301000526;CONTROLE JFL;1301000526
1301000535;BUCHA NYLON DRYWALL C/ PARAFUS;1301000535
1301000547;ABRACADEIRA TIPO D C/ CUNHA;1301000547
1301000549;FECHO LINGUETA C/ CHAVE;1301000549
1301000551;PLACA 4X2 COM 1MODULO;1301000551
1301000560;PARAFUSO SEXTAVADO 1/4;1301000560
1301000561;PORCA 1/4;1301000561
1301000569;CABO ELETRICO DE 06MM VERDE;1301000569
1301000570;CABO ELETRICO 16MM PRETO;1301000570
1301000571;CABO ELETRICO 16MM AZUL;1301000571
1301000572;CABO ELETRICO 16MM VERDE;1301000572
1301000574;TERMINAL OLHAL P CABO 16MM;1301000574
1301000584;BARRA 03MT ELETRODUTO 3/4;1301000584
1301000587;TOMADA MACHO 3 PINOS 32A;1301000587
1301000588;TOMADA FEMEA 3 FUROS 32A;1301000588
1301000602;ACABAMENTO REGISTRO;1301000602
1301000608;CABO 10MM PRETO;1301000608
1301000638;FITA ISOLANTE ALTA TENSAO;1301000638
1301000645;PLAFON PVC BRANCO;1301000645
1301000649;ABRACADEIRA NYLON;1301000649
1301000653;REGUA 8 TOMADAS;1301000653
1301000660;ESPIRAL ORGANIZADOR DE CABOS;1301000660
1301000664;PLACA 4X4 2 MODULOS;1301000664
1301000678;QUADRO DE DISJUNTORES;1301000678
1301000681;TERMINAL PINO DE 2,5MM;1301000681
1301000704;ELETROUDO E60X13X2,25;1301000704
1301000713;RJ 45 FEMEA;1301000713
1301000743;REFLETOR LED 150W;1301000743
1301000744;REATOR VAPOR METALICO;1301000744
1301000747;REFLETOR PARA LAMPADAS DE 400W;1301000747
1301000756;CONDUITE 3/4 PRETO;1301000756
1301000780;ANEL DE VEDACAO COM GUIA SENCI;1301000780
1301000798;FUSIVEL DE VIDRO PEQUENO 6A;1301000798
1301000808;TERMINAL COMPRESSAO 50MM;1301000808
1301000810;SENSOR DE PRESENCA BIVOLT;1301000810
1301000814;PASSA FIO AMARELO;1301000814
1301000818;"UNIDUT CONICO 3/4""";1301000818
1301000828;ENGATE FLEXIVEL ACO INOX;1301000828
1301000830;BORRACHA 45MM 3M AUTO ADESIVA;1301000830
1301000848;JUNCAO DE PVC 50MM;1301000848
1301000849;BARRA DE 06 METROS DE CANO PVC;1301000849
1301000896;JOELHO;1301000896
1301000912;CANO PVC;1301000912
1301000923;TOMADA 2P+T 20A;1301000923
1301000924;MODULO TOMADA 2P+T 10 A;1301000924
1301000928;INTERRUPTOR 02 TECLA PARALELA;1301000928
1301000929;INTERRUPTOR 03 TECLA PARALELA;1301000929
1301000931;LAMPADA INFRA VERMELHO 250W;1301000931
1301000946;CHUVEIRO A GAS;1301000946
1301000956;LUMINARIA TIPO TARTARUGA;1301000956
1301000964;CURVA GALVANIZADA 3/4;1301000964
1301000986;REBITE POP 4MMX12MM;1301000986
1301001003;CONJ TOMADA 10A BRANCO 5445;1301001003
1301001004;CONJ INTERRUPTOR BRANCO 5434;1301001004
1301001005;CABO PP 3X2.5MM 1KV MT 4033;1301001005
1301001011;REFIL FILTRO BEBEDOURO INDUST;1301001011
1301001015;DISJUNTOR TRIPOLAR 80A;1301001015
1301001023;TERMINAL PINO TUB DUPLO 6,00MM;1301001023
1301001025;TERMINAL PINO TUB DUPLO 16MM�;1301001025
1301001034;FITA ISOLANTE;1301001034
1301001046;SPIRADUTO DE 1/2;1301001046
1301001052;CHAVA CONTATORA 25A/220;1301001052
1301001059;CONECTOR RJ45;1301001059
1301001070;"TRINCO CHATO DE FERRO 4 """;1301001070
1301001126;FLANGE;1301001126
1301001133;EXTENSAO ELETRICA 10MT;1301001133
1301001136;GRAMPO CABO ACO 10MM;1301001136
1301001140;FERROLHO CHATO DE 6';1301001140
1301001141;PERFILADO PERF N���18-38X38MM ;1301001141
1301001142;PERFILADO PERF N���18-38X38MM ;1301001142
1301001143;TAMPA P/ PERFILADO 38X38MM;1301001143
1301001144;EMENDA INTERNA L;1301001144
1301001146;EMENDA INTERNA T;1301001146
1301001147;EMENDA INTERNA I;1301001147
1301001154;BROXA DE PINTURA RETANG 155X55;1301001154
1301001156;PONTEIRO DE ACO REDONDO 12 DEX;1301001156
1301001157;TALHADEIRA ACO REDONDO 12 DEXT;1301001157
1301001163;TERMINAL OLHAL 10 MM;1301001163
1301001197;ARRUELA LISA 17 X 30 X 3 ACO;1301001197
1301001218;ASPIRADOR DE PO/AGUA 220V;1301001218
1301001219;TUBO DE COBRE FLEXIVEL 1/2;1301001219
1301001220;TUBO DE COBRE FLEXIVEL 1/4;1301001220
1301001231;LAMPADA DE LED 12V;1301001231
1301001235;DISJUNTOR TRIPOLAR 40A;1301001235
1301001253;ARRUELA LISA 5/32;1301001253
1301001264;CURVA DE COBRE 3/4 90�;1301001264
1301001270;ADAPTADOR DE TOMADA REVERSO;1301001270
1301001271;BARRA CANO PVC MARROM 3/4;1301001271
1301001277;PONTEIRO 300MM ENCAIXE SDS MAX;1301001277
1301001305;"TORNEIRA P/ JARDIM 1/2""";1301001305
1301001330;BUCHA DE REDUCAO 3/4 SAIDA ROS;1301001330
1301001333;ESPIGAO FIXO FEMEA 1/4 X 1/2;1301001333
1301001334;"MANGUEIRA DE JARDIM 1/2"" TRANC";1301001334
1301001340;CHUMBADOR;1301001340
1301001342;PARAFUSO 3/8;1301001342
1301001343;"ELETRODUTO GALVANIZADO DE 2""";1301001343
1301001345;CAIXA 4X2 DRYWALL;1301001345
1301001347;CABO FLEXIVEL PRETO 35MM 1KV;1301001347
1301001357;CHUMBADOR CBA 1/4 X 2 C/ PARAF;1301001357
1301001369;ELETRODUTO PVC 1.1/2;1301001369
1301001381;RALO PVC 100;1301001381
1301001382;REBOLO DIAMANTADO 4.1/2 TURBO;1301001382
1301001385;FONTE PARA FECHADURA ELETRONIC;1301001385
1301001392;TIMER DIGITAL PDS - 02 BIVOLT;1301001392
1301001393;PINO FEMEA FAME 2P+T 20A;1301001393
1301001396;ROLAMENTO 6203 SKF;1301001396
1301001410;TOMADA EM BARRA 2P+T;1301001410
1301001411;FIO ELETRICO 2,5MM AZUL;1301001411
1301001412;FIO ELETRICO 2,5MM PRETO;1301001412
1301001413;FIO ELETRICO 2,5MM VERDE;1301001413
1301001419;LAMPADA LED 18W;1301001419
1301001429;PARAFUSO CHIP 4,0X45;1301001429
1301001433;PARAFUSO CHIP 4,0X50 100 PC;1301001433
1301001434;PARAFUSO CHIP 4,0X60 100 PC;1301001434
1301001460;TOMADA EM BARRA MULTIPLA 4X1;1301001460
1301001464;GANCHO CURTO PARA PERFILADO;1301001464
1301001471;FIO CABO FLEXIVEL 6MM VERDE;1301001471
1301001472;FIO CABO FLEXIVEL 6MM AZUL;1301001472
1301001473;FIO CABO FLEXIVEL 6MM PRETO;1301001473
1301001476;"PARAFUSO 5/16 X 2 1/4""";1301001476
1301001487;FIO FLEXIVEL 4MM PRETO;1301001487
1301001488;FIO FLEXIVEL 4MM AZUL;1301001488
1301001489;TERMINAL PRE-ISOLADO OLHAL 02;1301001489
1301001497;PINO MACHO + FEMEA 2 PINO 10A;1301001497
1301001513;CINTA HELLERMAN 30CM;1301001513
1301001514;FITA DUPLA FACE 12MMX20MT;1301001514
1301001518;LAMPADA BULBO LED 20W BIVOLT;1301001518
1301001541;TUBO DE LIGACAO AJUSTAVEL 20CM;1301001541
1301001543;LAMPADA LED T8/10W 60;1301001543
1301001544;LAMPADA LED T8/20W 120;1301001544
1301001549;CABO FLEXIVEL 16MM VERDE;1301001549
1301001552;PLUG NEWKON STECK 3P+T 32A N-4;1301001552
1301001555;TAMPA CONDULETE 4X2 01 TECLA;1301001555
1301001559;CONDULETE DE 1'';1301001559
1301001561;ABRACADEIRA EM U 3;1301001561
1301001562;ABRACADEIRA DE NYLON 30CM PRET;1301001562
1301001563;ABRACADEIRA DE NYLON 20CM BRAN;1301001563
1301001566;FITA ISOLANTE BRANCO;1301001566
1301001568;FITA ISOLANTE VERMELHA;1301001568
1301001573;REFLETOR DE LED 50W;1301001573
1301001578;LAMPADA BULBO 50W;1301001578
1301001584;SELANTE P/VED SILICONE BISNAGA;1301001584
1301001623;DISJUNTOR TRIPOLAR 25A;1301001623
1301001625;CABO PP 03X10MM;1301001625
1301001646;TORNEIRA TANQUE;1301001646
1301001648;LAMPADA LED BULO 9W BIV;1301001648
1301001650;BOTAO DE PULSO VERMELHO;1301001650
1301001655;BLOCO CONTATOR 1NC+1NF;1301001655
1301001677;PORCA PROLONGADOR 3/8;1301001677
1301001679;GANCHO LONGO PERFILADO;1301001679
1301001699;LUMINARIA PLAFOM 36W;1301001699
1301001703;CABO DE REDE CAT5E;1301001703
1301001711;PLACA CENTRAL TRIFASICA 3068;1301001711
1301001718;LUVA DE EMENDA 3/8;1301001718
1301001720;LAMPADA FLORESCENTE T5 28W;1301001720
1301001721;REGUA 4 TOMADAS 10 A;1301001721
1301001730;DISJUNTOR TRIPOLAR ABB 125 A;1301001730
1301001742;ELETRODUTO GALVANIZADO 3/4;1301001742
1301001745;CONECTOR DE DERIVACAO 5 VIAS;1301001745
1301001747;CABO UTP CAT 6E;1301001747
1301001754;PLACA DE 2 MODULOS 4X2 PIAL PL;1301001754
1301001757;CONVERSOR E GRAVADOR DIGITAL;1301001757
1301001758;CABO HDMI;1301001758
1301001761;PLUGUE DE 10 AMPERES 2P MACHO;1301001761
1301001772;REFLETOR LED 100W;1301001772
1301001793;UNIDUT CONICO COMUM 2;1301001793
1301001802;INTERRUPTOR SIMPLES;1301001802
1301001803;TAMPA CONDULETE INTERRUPTOR SI;1301001803
1301001815;SOQUETE ADAPTADOR E27/E40;1301001815
1301001827;FITA ISOLANTE 3M IMPERIAL 19X5;1301001827
1301001843;CHAVE VENTILADOR;1301001843
1301001848;RELE DE RS PRO DPDT 24V;1301001848
1301001889;LAMPADA LED T5 26W BIVOLT;1301001889
1301001894;TOMADA 10A 2PT;1301001894
1301001899;SUPORTE 4X2 3 MODULOS;1301001899
1301001937;PLUG MACHO TIPO L 20 A, 2P+T;1301001937
1301001938;PLUG FEMEA TIPO L 20 A, 2P+T;1301001938
1301001939;PLUG FEMEA TIPO L 10 A, 2P+T;1301001939
1301001958;LAMPADA TUBULAR LED T5 6500;1301001958
1301001964;TERMINAL OLHAL 2,5 MM;1301001964
1301001979;"ABRACADEIRA TIPO CUNHA 1.1/2""";1301001979
1301001986;CABO FLEX AZ;1301001986
1301001998;ARAME DE 0,8 MM;1301001998
1301002000;CADEADO PAPAIZ 35MM;1301002000
1301002002;LAMPADA LUMINARIA LUZ EMERGENCIA RECARREGAVEL 30 LED BIVOLT;1301002002
1301002007;LAMPADA MISTA DE 250W - 220V;1301002007
1301002011;LUMINARIA HERMETICA IP65;1301002011
1301002045;FILTRO LINHA 4T BIV;1301002045
1301002065;CAIXA TOMADA EMBUTIR;1301002065
1301002087;CABO FLEXIVEL 50MM  1KV AZUL;1301002087
1301002088;CABO FLEXIVEL 50MM  1KV VERDE;1301002088
1301002089;CABO FLEXIVEL 70MM  1KV PRETO;1301002089
1301002095;CABO PP 3X 2,5 MM�;1301002095
1301002117;DISJUNTOR MONOPOLAR 16A CURVA;1301002117
1301002157;LUMINARIA HIGH BAY UFO 100W BR;1301002157
1301002163;TERMINAL OLHAL 50MM;1301002163
1301002164;TERMINAL OLHAL 70MM;1301002164
1301002174;CONECTOR MACHO RJ45;1301002174
1301002176;FITA ISOLANTE 3M SCOTCH;1301002176
1301002180;PARAFUSO CABECA LENTILHA C/ TR;1301002180
1301002182;"CONDUITE EMBORACHADO 3/4""";1301002182
1301002184;"LUVA DE EMENDA SEM ROSCA 2"" -";1301002184
1301002201;BARRA ROSCADA 3/8 - 6MTR;1301002201
1301002203;PORCA 3/8;1301002203
1301002204;ARRUELA 3/8;1301002204
1301002209;SAIDA LATERAL PARA PERFILADO 3;1301002209
1301002219;BRACO ARTICULADO C/ REFLETOR;1301002219
1301002222;BARRA E PERFILADO 6M;1301002222
1301002223;EMENDA RETA PARA PERFILADO;1301002223
1301002232;LAMPADA LED BULBO 15W;1301002232
1301002233;CABO EPR 1KV-FLEX 90G 4X 4,00M;1301002233
1301002240;PLUG 3P+T+N 32A-380/44 0V 6H V;1301002240
1301002242;FITA ISOLANTE 19MMX20M T PT 0,;1301002242
1301002244;BARRA ROSCADA 3MM 1MT ZINCADO;1301002244
1301002251;ACOPLAMENTO 3P+T+N 32A 380/440;1301002251
1301002252;JUNCAO INTERNA 1 38X38M M PZ#2;1301002252
1301002253;DISJUNTOR 3P 100A 39KA 220V SD;1301002253
1301002266;PERFIL REFORCADO MAO FRANCESA;1301002266
1301002275;CABO FLEXIVEL 6MM��� PRE;1301002275
1301002282;"CHUMBADOR PARABOLT 1/4 X 2"" PB";1301002282
1301002286;BARRA DE ELETRODUTO GALVANIZAD;1301002286
1301002289;UNIDUT CONICO 3/4 SEM ROSCA;1301002289
1301002295;SEALTUBO ELECON 3/4 PR 25MT;1301002295
1301002299;ESPELHO PARA TOMADA REDONDA CO;1301002299
1301002301;ALICATE PRENSA TERMINAIS 5 EM 1 AP-40 3686501000 VONDER;1301002301
1301002303;TERMINAL PINO ISOLADO 2,5MM;1301002303
1301002309;TERMINAIS TUBULAR DE 16 MILIME;1301002309
1301002314;BATERIA 9VOLTS;1301002314
1301002319;ELETROCALHA PERF 100X150X3000;1301002319
1301002330;ARRUELA CABECA LENTILHA;1301002330
1301002331;PERFILADO 38X38 6M;1301002331
1301002333;EMENDA T P/ PERFILADO 38X38 MM;1301002333
1301002337;CABO FLEXIVEL 2,5 MM��� PRE;1301002337
1301002338;CABO FLEXIVEL 2,5 MM��� AZ;1301002338
1301002341;"CHUMBADOR PARABOLT 1/4 X 2"" PB";1301002341
1301002345;BARRA DE ELETRODUTO GALVANIZAD;1301002345
1301002346;ABRACADEIRA 3/4 C/ CUNHA;1301002346
1301002348;UNIDUT CONICO 3/4;1301002348
1301002351;CONECTOR RJ45 CAT.6 FURUKAWA;1301002351
1301002357;ESPELHO CEGO 3/4 PARA CAIXA CO;1301002357
1301002363;CONECTOR DE EMENDA 2 POLOS 6,0;1301002363
1301002364;FITA ISOLANTE 3M SCOTCH;1301002364
1301002368;PLUG FEMEA 380/440V 32A STECK;1301002368
1301002369;KIT 10 ISOLADORES PARA BARRAME;1301002369
1301002372;DISJUNTOR UNIPOLAR 20A;1301002372
1301002377;CABO FLEXIVEL 4MM��� PRE;1301002377
1301002378;CABO FLEXIVEL 4MM��� AZ;1301002378
1301002379;CABO FLEXIVEL 4MM��� VER;1301002379
1301002395;FITA ISOLANTE 19MMX20MT PRETA;1301002395
1301002398;CAIXA DE CABO DE REDE FURUKAWA;1301002398
1301002405;PORCA CABECA LENTILHA;1301002405
1301002406;"ARRUELAS 3/8""";1301002406
1301002418;TERMINAL PRE ISOLADO TIPO OLHA;1301002418
1301002425;ALICATE PUNCH DOWN HT-314B MUL;1301002425
1301002429;TOMADA RETANGULAR 10A 2P+T;1301002429
1301002436;UNIDUT RETO 3/4;1301002436
1301002437;UNIDUT CONICO 3/4;1301002437
1301002447;KIT BARRAMENTO TRIFASICO 225A;1301002447
1301002454;TAMPA CONDULETE ALU;1301002454
1301002456;RACK INFORMATICA 19U;1301002456
1301002478;PROGRAMADOR HORARIO COEL RTST-;1301002478
1301002480;CAIXA DE EMBUTIR PARA DRYWALL;1301002480
1301002496;LUVA SOLDAVEL 3/4;1301002496
1301002497;CONEXAO T 3/4;1301002497
1301002498;COTOVELO 3/4;1301002498
1301002499;COLA TIGRE POTE;1301002499
1301002504;LUVA SOLDA COLA E ROSCA 3/4;1301002504
1301002517;PAFLON SOBREPOR QUADRADO 25W;1301002517
1301002525;DISJUNTOR TRIPOLAR 63A;1301002525
1301002528;FUSIVEL PORCELANA 20A 500V;1301002528
1301002530;CABO FLEX 750V VD;1301002530
1301002531;CABO FLEX 750V PT;1301002531
1301002552;ALICATE DE SOLDA DE 500A 6,0 A;1301002552
1301002556;CONTROLADOR DE DIMMER;1301002556
1301002564;CABO FLEXIVEL 2.5MM VM 750V;1301002564
1301002570;DISJUNTOR TRIFASICO 40A;1301002570
1301002575;MODULO TOMADA 10A;1301002575
1301002577;LAMPADA LED TUBULAR 18W/4500K;1301002577
1301002594;CABO DE 06MM��� PRETO  COBREC;1301002594
1301002604;SAPATA INTERNA PARA PERFILADO;1301002604
1301002605;PARAFUSO AUTOBROCANTE SEXTAVAD;1301002605
1301002617;SOQUETE DE LAMPADA TUBULAR T8;1301002617
1301002618;SOQUETE DE LAMPADA TUBULAR T5;1301002618
1301002621;DISCO DE CORTE INOX FERRO 115M;1301002621
1301002623;TAMPAO PLASTICO PARA CONDULETE;1301002623
1301002644;ABRACADEIRA D C/ CUNHA 3/4;1301002644
1301002645;ELETRODUTO GALV LEVE 3/4 X 3M;1301002645
1301002646;LUMINARIA LED SLIM 72W 6500K 2;1301002646
1301002659;LIMPA CONTATO ELETRICO SPRAY P;1301002659
1301002697;UNIDUT RETO 1.1/2��� ( URT 112;1301002697
1301002706;CURVA PARA ELETRODUTO GALVANIZADA A FOGO 3/4�;1301002706
1301002714;PORCAS SEXTAVADA GALVANIZADA A;1301002714
1301002716;GRAMPO C COM BALANCIM E PARAFU;1301002716
1301002721;CONJUNTO 2 TOMADAS 2P+T 10A CO;1301002721
1301002722;CONJUNTO 2 TOMADAS 2P+T 20A CO;1301002722
1301002726;MODULO TECLA INTERRUPTOR ALUMB;1301002726
1301002729;FITA ROTULADOR BROTHER ET 70;1301002729
1301002738;LUMINARIA INTELBRAS 200 LUMENS;1301002738
1301002741;SOQUETE MAGNETICO 1/4 X 2.9/16;1301002741
1301002745;MODULO DE TOMADA 10A;1301002745
1301002746;MODULO DE TOMADA 20A;1301002746
1301002759;CONECTOR CAT5 FEMEA;1301002759
1301002778;DUTO PEAD CORRUGADO KANAFLEX 3;1301002778
1301002791;JOGO DE CHAVES FENDA E PHILLIPS ISOLADAS 150NR/160NR GEDORE;1301002791
1301002800;REATOR LED DRIVER 25 W;1301002800
1301002802;ORGANIZADOR CABOS ESPIRAL PRET;1301002802
1301002809;CHUVEIRO ELETRICO DE PAREDE 75;1301002809
1301002827;FITA HELLERMAN - PEQUENA;1301002827
1301002828;FITA HLLERMAN - MEDIA;1301002828
1301002829;FITA HELLERMAN - GRANDE;1301002829
1301002842;TOMADA CONDULETE 2P+T 10A SEM PLACA;1301002842
1301002843;TOMADA CONDULETE 2P+T 20A;1301002843
1301002849;LAMPADA LED INDTL ALTA POT.140;1301002849
1301002868;FITA ISOLANTE AUTO FUSAO +33 P;1301002868
1301002872;TUBO DUTO CORRUGADO ELETRODUTO;1301002872
